airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
ILI,S,59.76111111,-154.92694444,N,59.75361111,-154.93194444
JNU,08,58.35784722,-134.59696944,26,58.35163333,-134.55239722
JNU,26,58.35163333,-134.55239722,08,58.35784722,-134.59696944
JNU,08W,58.35633889,-134.59784167,26W,58.35297500,-134.57368333
JNU,26W,58.35297500,-134.57368333,08W,58.35633889,-134.59784167
AFE,11,56.96487222,-133.91795000,29,56.95785278,-133.90257222
AFE,29,56.95785278,-133.90257222,11,56.96487222,-133.91795000
KLG,07,61.53531219,-160.35465000,25,61.53662783,-160.33653328
KLG,25,61.53662783,-160.33653328,07,61.53531219,-160.35465000
KAL,03,64.31524192,-158.75044231,21,64.32271800,-158.73216975
KAL,21,64.32271800,-158.73216975,03,64.31524192,-158.75044231
5Z5,10,63.54271944,-150.99935833,28,63.53925278,-150.99079444
5Z5,28,63.53925278,-150.99079444,10,63.54271944,-150.99935833
Z90,15,63.75386111,-150.33107222,33,63.74855000,-150.32945556
Z90,33,63.74855000,-150.32945556,15,63.75386111,-150.33107222
KYK,10,57.56749864,-154.45814981,28,57.56462567,-154.44947961
KYK,28,57.56462567,-154.44947961,10,57.56749864,-154.45814981
Z09,17,60.87742089,-162.52337500,35,60.86926494,-162.52522633
Z09,35,60.86926494,-162.52522633,17,60.87742089,-162.52337500
5KS,01,60.34764722,-151.26605833,19,60.35339444,-151.25965556
5KS,19,60.35339444,-151.25965556,01,60.34764722,-151.26605833
RK1,08,69.67836111,-146.92118889,26,69.67519167,-146.87890278
RK1,26,69.67519167,-146.87890278,08,69.67836111,-146.92118889
ENA,02L,60.56304989,-151.25846067,20R,60.56370572,-151.25765850
ENA,20R,60.56370572,-151.25765850,02L,60.56304989,-151.25846067
ENA,02R,60.57497958,-151.23829042,20L,60.57961717,-151.23260417
ENA,20L,60.57961717,-151.23260417,02R,60.57497958,-151.23829042
ENA,02W,60.57236944,-151.25260556,20W,60.58315278,-151.23943611
ENA,20W,60.58315278,-151.23943611,02W,60.57236944,-151.25260556
KTN,11,55.36141211,-131.72382675,29,55.34674108,-131.69860983
KTN,29,55.34674108,-131.69860983,11,55.36141211,-131.72382675
KTN,E,55.34698611,-131.67101944,W,55.34168611,-131.65479167
KTN,W,55.34168611,-131.65479167,E,55.34698611,-131.67101944
IAN,07,66.97569414,-160.45250567,25,66.97665983,-160.42469222
IAN,25,66.97665983,-160.42469222,07,66.97569414,-160.45250567
KVC,08,55.11622994,-162.27489106,26,55.11653767,-162.25818019
KVC,26,55.11653767,-162.25818019,08,55.11622994,-162.27489106
